,city,Record_ID,latitude,temp_max,humidity,wind,clouds
487,noboribetsu,487,42.45,39.0,74.0,5.82,75.0
488,road town,488,18.42,78.8,74.0,11.41,90.0
489,madimba,489,-10.4,80.6,88.0,11.41,20.0
490,fallingbostel,490,52.87,48.99,61.0,19.46,40.0
491,tucuman,491,-26.82,80.6,78.0,9.17,20.0
492,saint-donat-de-montcalm,492,46.32,21.99,8.0,1.01,97.0
493,copiapo,493,-27.37,64.4,77.0,2.24,1.0
494,kazalinsk,494,,,,,
495,haines junction,495,60.75,-12.03,98.0,1.7,99.0
496,opelousas,496,30.53,59.0,93.0,5.08,90.0
497,makaryev,497,57.88,33.22,89.0,17.67,100.0
498,gay,498,51.47,10.4,85.0,15.66,75.0
499,grand gaube,499,-20.01,82.4,65.0,9.17,40.0
500,xining,500,36.62,32.29,14.0,3.38,0.0
501,moron,501,-34.65,77.0,78.0,6.93,29.0
502,whitianga,502,-36.83,78.01,72.0,1.99,61.0
503,kapit,503,2.02,79.61,94.0,3.09,55.0
504,barsovo,504,61.17,21.2,100.0,4.47,90.0
505,bartica,505,6.4,77.0,94.0,2.24,75.0
506,neryungri,506,56.67,11.28,90.0,7.05,100.0
507,anori,507,-3.77,74.5,94.0,2.15,24.0
508,tomatlan,508,19.93,68.92,66.0,2.19,100.0
509,feijo,509,-8.16,71.26,97.0,1.36,52.0
510,coihaique,510,-45.58,44.6,81.0,3.36,40.0
511,kavant,511,,,,,
512,sattahip,512,12.67,93.99,58.0,8.05,20.0
513,chokwe,513,-24.53,79.74,75.0,3.11,0.0
514,churapcha,514,62.0,-6.63,91.0,3.24,97.0
515,camacha,515,33.08,64.4,67.0,3.36,40.0
516,cahors,516,44.42,54.0,93.0,4.7,100.0
517,laguna,517,38.42,55.4,71.0,3.36,1.0
518,nurota,518,40.56,41.0,65.0,4.7,82.0
519,carora,519,10.18,66.34,83.0,2.82,96.0
520,meulaboh,520,4.14,81.97,74.0,1.32,0.0
521,mirabad,521,30.44,55.53,24.0,1.68,8.0
522,longyan,522,25.11,59.0,69.0,5.46,0.0
523,najran,523,17.49,57.2,19.0,4.7,9.0
524,pineville,524,31.32,59.0,87.0,6.93,90.0
525,riviere-au-renard,525,49.0,26.6,73.0,6.93,75.0
526,mouzouras,526,35.53,54.0,71.0,5.82,75.0
527,pell city,527,33.59,48.2,100.0,3.36,1.0
528,ixtapa,528,20.7,72.0,94.0,2.24,5.0
529,dodge city,529,37.75,42.01,86.0,14.99,1.0
530,ucluelet,530,48.93,39.99,83.0,1.01,0.0
531,makasar,531,-5.14,86.0,74.0,6.93,40.0
532,puerto carreno,532,6.19,77.79,55.0,6.29,56.0
533,carroll,533,39.55,42.01,64.0,5.32,90.0
534,doha,534,25.29,72.0,93.0,10.29,40.0
535,fort nelson,535,58.81,-11.2,69.0,3.36,90.0
536,soe,536,-9.86,87.33,65.0,6.13,63.0
537,gainesville,537,29.65,63.0,100.0,0.78,1.0
538,el faiyum,538,,,,,
539,bogovarovo,539,58.98,29.93,93.0,16.51,100.0
540,vazante,540,-17.99,68.04,96.0,1.12,51.0
541,santa vitoria do palmar,541,-33.52,76.42,80.0,7.76,39.0
542,talaya,542,61.38,-20.9,100.0,0.54,44.0
543,orebro,543,59.27,41.0,93.0,17.22,75.0
544,sungaipenuh,544,-2.08,77.09,76.0,1.25,73.0
545,makakilo city,545,21.35,77.0,73.0,10.29,75.0
546,durusu,546,41.31,44.01,77.0,6.93,75.0
547,mokhsogollokh,547,61.47,5.79,92.0,1.3,100.0
548,wairoa,548,-39.03,81.0,57.0,4.0,31.0
549,kachikau,549,,,,,
550,batagay-alyta,550,67.8,-1.16,97.0,2.98,100.0
551,nara,551,34.69,50.0,43.0,20.8,40.0
552,ola,552,59.58,0.25,71.0,0.67,0.0
553,bargal,553,,,,,
554,kozhva,554,65.11,23.68,87.0,15.32,100.0
555,itupiranga,555,-5.13,77.0,100.0,2.24,67.0
556,tabuk,556,17.42,75.38,79.0,17.38,68.0
557,teguise,557,29.06,62.6,82.0,10.29,18.0
558,tazovskiy,558,67.47,7.7,93.0,12.21,97.0
559,muromtsevo,559,56.37,21.54,93.0,3.71,99.0
560,portobelo,560,9.55,80.6,69.0,4.7,40.0
561,riyadh,561,24.69,60.8,23.0,4.7,89.0
562,dagda,562,56.1,45.57,65.0,16.98,100.0
563,sorland,563,67.67,35.6,93.0,5.82,75.0
564,bonthe,564,7.53,76.91,85.0,3.71,32.0
565,high level,565,58.52,-23.8,82.0,4.7,5.0
566,phan rang,566,,,,,
567,marystown,567,47.17,31.84,97.0,15.79,100.0
568,tigzirt,568,36.89,61.14,75.0,5.77,0.0
569,likasi,569,-10.98,63.16,99.0,1.95,98.0
570,portland,570,45.52,45.0,70.0,10.29,90.0
571,wakkanai,571,45.41,24.8,92.0,28.86,90.0
572,wilhelmshaven,572,53.52,46.0,70.0,21.92,75.0
573,sandnessjoen,573,66.02,41.0,83.0,24.16,75.0
574,luziania,574,-16.25,71.6,88.0,3.36,40.0
575,luoyang,575,34.68,50.76,17.0,13.38,0.0
576,north platte,576,41.12,44.01,59.0,4.7,75.0
577,zhanaozen,577,43.3,36.46,57.0,11.01,0.0
578,anchorage,578,61.22,15.01,66.0,3.36,1.0
579,skeldon,579,5.88,78.84,84.0,14.52,6.0
580,jacareacanga,580,-6.22,72.5,97.0,1.3,12.0
581,soyo,581,-6.13,79.21,83.0,0.54,100.0
582,olenegorsk,582,68.15,34.61,97.0,14.76,100.0
583,san jose,583,37.34,54.0,87.0,3.36,75.0
584,uvelskiy,584,54.44,13.03,87.0,4.5,0.0
585,palmer,585,42.16,30.99,86.0,2.48,1.0
586,ostersund,586,63.18,33.8,69.0,13.87,74.0
587,luanda,587,-8.84,78.8,88.0,6.93,40.0
588,gonen,588,40.1,44.6,75.0,12.75,40.0
589,carutapera,589,-1.2,80.64,80.0,17.63,91.0
590,lusambo,590,-4.97,73.74,86.0,3.09,100.0
591,nantucket,591,41.28,37.4,86.0,4.7,1.0
592,pathein,592,16.78,84.87,41.0,7.87,79.0
593,ilhabela,593,-23.78,77.67,84.0,3.04,22.0
594,tashtyp,594,52.79,18.12,86.0,3.04,97.0
595,namatanai,595,-3.67,84.69,76.0,18.68,72.0
596,champerico,596,14.3,75.09,76.0,6.53,0.0
597,kjopsvik,597,68.1,32.0,100.0,21.92,40.0
598,santa isabel do rio negro,598,-0.41,76.62,85.0,1.32,43.0
599,haibowan,599,,,,,
600,belmonte,600,-15.86,78.8,83.0,2.24,20.0
601,concarneau,601,47.88,48.2,81.0,14.99,40.0
602,destin,602,30.39,57.99,93.0,6.93,90.0
603,simpang,603,-1.27,88.32,62.0,6.15,98.0
604,ukiah,604,39.15,50.0,81.0,3.6,1.0
605,kocevje,605,45.64,50.0,87.0,4.7,40.0
606,half moon bay,606,37.46,53.6,87.0,6.93,75.0
607,gao,607,16.64,67.37,17.0,15.43,45.0
608,monrovia,608,6.3,77.0,94.0,4.74,90.0
609,wanning,609,18.8,61.95,71.0,12.68,95.0
610,thalheim,610,50.7,50.0,87.0,12.75,75.0
611,port-gentil,611,-0.72,80.94,82.0,8.88,100.0
612,tahoua,612,14.89,63.73,20.0,11.41,0.0
613,oranjestad,613,12.52,78.8,78.0,18.34,20.0
